2187: lpj_guess taskset -c 44-47
2208: lpj_guess taskset -c 0-3
2179: lpj_guess taskset -c 12-15
2182: lpj_guess taskset -c 24-27
2185: lpj_guess taskset -c 36-39
2188: lpj_guess taskset -c 48-51
2195: lpj_guess taskset -c 76-79
2199: lpj_guess taskset -c 92-95
2200: lpj_guess taskset -c 96-99
2177: lpj_guess taskset -c 4-7
2181: lpj_guess taskset -c 20-23
2183: lpj_guess taskset -c 28-31
2184: lpj_guess taskset -c 32-35
2186: lpj_guess taskset -c 40-43
2191: lpj_guess taskset -c 60-63
2196: lpj_guess taskset -c 80-83
2197: lpj_guess taskset -c 84-87
2198: lpj_guess taskset -c 88-91
2201: lpj_guess taskset -c 100-103
2204: lpj_guess taskset -c 112-115
2205: lpj_guess taskset -c 116-119
2178: lpj_guess taskset -c 8-11
2180: lpj_guess taskset -c 16-19
2194: lpj_guess taskset -c 72-75
2036: oifs taskset -c 80-83
2038: oifs taskset -c 88-91
2028: oifs taskset -c 48-51
2218: lpj_guess taskset -c 40-43
2024: oifs taskset -c 32-35
2034: oifs taskset -c 72-75
2211: lpj_guess taskset -c 12-15
2212: lpj_guess taskset -c 16-19
2017: oifs taskset -c 4-7
2213: lpj_guess taskset -c 20-23
2031: oifs taskset -c 60-63
2219: lpj_guess taskset -c 44-47
2215: lpj_guess taskset -c 28-31
2217: lpj_guess taskset -c 36-39
2233: lpj_guess taskset -c 100-103
2238: lpj_guess taskset -c 120-123
2216: lpj_guess taskset -c 32-35
2032: oifs taskset -c 64-67
2210: lpj_guess taskset -c 8-11
2220: lpj_guess taskset -c 48-51
2222: lpj_guess taskset -c 56-59
2223: lpj_guess taskset -c 60-63
2224: lpj_guess taskset -c 64-67
2025: oifs taskset -c 36-39
2030: oifs taskset -c 56-59
2209: lpj_guess taskset -c 4-7
2027: oifs taskset -c 44-47
2225: lpj_guess taskset -c 68-71
2228: lpj_guess taskset -c 80-83
2229: lpj_guess taskset -c 84-87
2230: lpj_guess taskset -c 88-91
2232: lpj_guess taskset -c 96-99
2214: lpj_guess taskset -c 24-27
2221: lpj_guess taskset -c 52-55
2227: lpj_guess taskset -c 76-79
2026: oifs taskset -c 40-43
2231: lpj_guess taskset -c 92-95
2234: lpj_guess taskset -c 104-107
2235: lpj_guess taskset -c 108-111
2236: lpj_guess taskset -c 112-115
2237: lpj_guess taskset -c 116-119
